"","group","acceptedName","acceptedAuthor","nameSubmitted","url","nameScientific","scientificScore","matchedFamily","matchedFamilyScore","authorAttributed","family","genus","genusScore","speciesMatched","speciesMatchedScore","infraspecific1Rank","infraspecific1Epithet","infraspecific1EpithetScore","infraspecific2Rank","infraspecific2Epithet","infraspecific2EpithetScore","author","authorScore","annotation","unmatched","overall","epithet","epithetScore","acceptance","familySubmitted","selected","acceptedNameUrl"
"1","0","Acalypha rhomboidea","Raf.","Acalypha rhomboidea","http://www.tropicos.org/Name/12804612","Acalypha rhomboidea","1","","","Raf.","Euphorbiaceae","Acalypha","1","rhomboidea","1","","","","","","","","","","","1","rhomboidea","1","No opinion","",TRUE,"http://www.tropicos.org/Name/12804612"
"2","1","Acer negundo","L.","Acer negundo","http://www.tropicos.org/Name/200001","Acer negundo","1","","","L.","Sapindaceae","Acer","1","negundo","1","","","","","","","","","","","1","negundo","1","No opinion","",TRUE,"http://www.tropicos.org/Name/200001"
"3","2","Acer nigrum","F. Michx.","Acer nigrum","http://www.tropicos.org/Name/200061","Acer nigrum","1","","","F. Michx.","Sapindaceae","Acer","1","nigrum","1","","","","","","","","","","","1","nigrum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/200061"
"4","3","Acer platanoides","L.","Acer platanoides","http://www.tropicos.org/Name/200035","Acer platanoides","1","","","L.","Sapindaceae","Acer","1","platanoides","1","","","","","","","","","","","1","platanoides","1","No opinion","",TRUE,"http://www.tropicos.org/Name/200035"
"5","4","Acer rubrum","L.","Acer rubrum","http://www.tropicos.org/Name/200014","Acer rubrum","1","","","L.","Sapindaceae","Acer","1","rubrum","1","","","","","","","","","","","1","rubrum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/200014"
"6","5","Acer saccharinum","L.","Acer saccharinum","http://www.tropicos.org/Name/200038","Acer saccharinum","1","","","L.","Sapindaceae","Acer","1","saccharinum","1","","","","","","","","","","","1","saccharinum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/200038"
"7","6","Acer saccharum","Marshall","Acer saccharum","http://www.tropicos.org/Name/200039","Acer saccharum","1","","","Marshall","Sapindaceae","Acer","1","saccharum","1","","","","","","","","","","","1","saccharum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/200039"
"8","7","Achillea millefolium","L.","Achillea millefolium","http://www.tropicos.org/Name/2700015","Achillea millefolium","1","","","L.","Asteraceae","Achillea","1","millefolium","1","","","","","","","","","","","1","millefolium","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2700015"
"9","8","Actinomeris alternifolia","(L.) DC.","Actinomeris alternifolia","http://www.tropicos.org/Name/2724522","Actinomeris alternifolia","1","","","(L.) DC.","Asteraceae","Actinomeris","1","alternifolia","1","","","","","","","","","","","1","alternifolia","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2724522"
"10","9","Aesculus glabra","Willd.","Aesculus glabra","http://www.tropicos.org/Name/15500003","Aesculus glabra","1","","","Willd.","Sapindaceae","Aesculus","1","glabra","1","","","","","","","","","","","1","glabra","1","No opinion","",TRUE,"http://www.tropicos.org/Name/15500003"
